Ticker,Weights,lower,upper
AGG,0,0,1
EEM,0.175,0,1
FIASX,0,0,1
GLD,0,0,1
IEF,0,0,1
IJR,0,0,1
IJH,0.05,0,1
IVV,0.3,0,1
LQD,0,0,1
SHY,0,0,0.0001
TIP,0.3,0,1
TLT,0,0,1
VAW,0,0,1
VDC,0,0,1
VDE,0,0,1
VEURX,0.115,0,1
VGSIX,0,0,1
VPACX,0.07,0,1
VPU,0,0,1
