Ticker,Weights,lower,upper
AFK,0,0,1
AGG,0,0,1
BWX,0,0,1
DBC,0.15,0,1
DFJ,0.2,0,1
EEM,0,0,1
EMB,0,0,1
GDX,0,0,1
GLD,0,0,1
IEF,0.75,0,1
IJR,0.2,0,1
IJH,0,0,1
IVV,0,0,1
LQD,0,0,1
LTPZ,0,0,1
PPA,0,0,0.0001
RWO,0,0,1
SCZ,0,0,1
SHY,0,0,0.0001
STPZ,0,0,1
TIP,0,0,1
TLT,0,0,1
VAW,0,0,1
VDC,0.2,0,1
VDE,0,0,1
VEURX,0,0,1
VGSIX,0,0,1
VNM,0,0,1
VPACX,0,0,1
VPU,0,0,1
